elapsed-r	errors-r	ops/sec(inst)-r	ops/sec(cum)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	elapsed-w	errors-w	ops/sec(inst)-w	ops/sec(cum)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w
109.0	0.0	8243.2	7031.7	5.2	15.2	24.1	39.8	109.0	0.0	440.9	371.4	6.6	18.9	27.3	37.7
110.0	0.0	8499.2	7045.1	5.2	14.7	24.1	39.8	110.0	0.0	442.0	372.0	6.6	18.9	31.5	35.7
111.0	0.0	8127.9	7054.9	5.5	15.2	26.2	41.9	111.0	0.0	429.6	372.5	7.1	18.9	32.5	46.1
112.0	0.0	8553.1	7068.3	5.2	13.6	24.1	46.1	112.0	0.0	433.7	373.1	6.8	19.9	29.4	37.7
113.0	0.0	8315.7	7079.4	5.2	15.7	27.3	54.5	113.0	0.0	393.8	373.3	6.8	22.0	35.7	48.2
114.0	0.0	8270.0	7089.7	5.2	15.2	25.2	44.0	114.0	0.0	430.9	373.8	6.8	15.2	32.5	41.9
115.0	0.0	8046.8	7098.0	5.5	16.3	26.2	44.0	115.0	0.0	418.1	374.2	7.1	18.9	32.5	39.8
116.0	0.0	8316.7	7108.5	5.2	15.2	26.2	46.1	116.0	0.0	456.9	374.9	6.3	16.8	27.3	37.7
117.0	0.0	8028.2	7116.5	5.5	15.2	28.3	44.0	117.0	0.0	431.3	375.4	6.6	19.9	26.2	35.7
118.0	0.0	8715.5	7129.9	5.2	13.6	22.0	44.0	118.0	0.0	439.7	375.9	6.3	16.3	27.3	32.5
119.0	0.0	8064.6	7137.8	5.5	15.7	25.2	39.8	119.0	0.0	442.0	376.5	7.1	16.8	22.0	29.4
120.0	0.0	8206.3	7146.7	5.2	15.2	25.2	54.5	120.0	0.0	460.8	377.2	7.1	17.8	27.3	56.6
121.0	0.0	8578.5	7158.5	5.2	14.2	25.2	54.5	121.0	0.0	446.9	377.7	6.8	18.9	35.7	46.1
122.0	0.0	8335.9	7168.3	5.2	14.2	26.2	50.3	122.0	0.0	441.2	378.3	6.6	15.7	27.3	37.7
123.0	0.0	8518.5	7179.2	5.2	14.7	24.1	35.7	123.0	0.0	423.8	378.6	6.6	17.8	24.1	26.2
124.0	0.0	8267.4	7188.0	5.2	15.2	24.1	44.0	124.0	0.0	432.6	379.1	6.8	14.7	24.1	27.3
125.0	0.0	8180.6	7196.0	5.2	15.7	26.2	46.1	125.0	0.0	417.0	379.4	6.8	17.8	29.4	35.7
126.0	0.0	8031.4	7202.5	5.5	16.3	27.3	54.5	126.0	0.0	425.6	379.7	6.8	22.0	35.7	48.2
127.0	0.0	8337.4	7211.5	5.2	14.7	27.3	44.0	127.0	0.0	445.6	380.3	6.8	17.8	27.3	44.0
128.0	0.0	8833.6	7224.1	5.2	13.1	23.1	44.0	128.0	0.0	472.4	381.0	6.8	14.7	30.4	41.9
129.0	0.0	8341.5	7232.8	5.2	15.2	26.2	58.7	129.0	0.0	459.1	381.6	6.8	15.7	27.3	41.9
130.0	0.0	8392.4	7241.7	5.2	14.7	23.1	39.8	130.0	0.0	466.0	382.2	7.1	18.9	27.3	37.7
131.0	0.0	8044.6	7247.9	5.5	15.7	26.2	44.0	131.0	0.0	446.6	382.7	7.3	18.9	28.3	39.8
132.0	0.0	7957.9	7253.2	5.2	16.8	27.3	48.2	132.0	0.0	404.7	382.9	7.3	18.9	26.2	37.7
133.0	0.0	8273.3	7260.9	5.2	14.7	25.2	71.3	133.0	0.0	467.8	383.5	6.6	15.7	28.3	50.3
134.0	0.0	8627.1	7271.1	5.2	13.6	24.1	50.3	134.0	0.0	462.0	384.1	6.6	17.8	30.4	48.2
135.0	0.0	8083.2	7277.1	5.2	15.7	26.2	52.4	135.0	0.0	447.0	384.6	7.1	18.9	32.5	44.0
136.0	0.0	8141.7	7283.4	5.2	16.3	28.3	44.0	136.0	0.0	433.9	384.9	7.1	21.0	28.3	35.7
137.0	0.0	8127.8	7289.7	5.5	15.2	28.3	41.9	137.0	0.0	444.6	385.4	6.6	19.9	30.4	37.7
138.0	0.0	8363.5	7297.4	5.2	14.7	25.2	50.3	138.0	0.0	450.3	385.8	6.8	18.9	25.2	30.4
139.0	0.0	8067.0	7303.0	5.2	16.3	26.2	46.1	139.0	0.0	457.9	386.4	7.1	17.8	28.3	41.9
140.0	0.0	8202.0	7309.4	5.2	16.3	26.2	50.3	140.0	0.0	381.0	386.3	7.1	21.0	31.5	33.6
141.0	0.0	8093.3	7314.9	5.2	15.7	27.3	48.2	141.0	0.0	449.9	386.8	6.3	17.8	31.5	39.8
142.0	0.0	8557.7	7323.7	5.2	13.6	25.2	50.3	142.0	0.0	449.0	387.2	6.8	19.9	35.7	48.2
143.0	0.0	8149.7	7329.4	5.5	16.3	25.2	48.2	143.0	0.0	414.3	387.4	6.8	18.9	32.5	35.7
144.0	0.0	8470.6	7337.4	5.2	14.2	24.1	41.9	144.0	0.0	440.8	387.8	6.3	15.7	33.6	46.1
145.0	0.0	8637.7	7346.3	5.2	13.6	24.1	46.1	145.0	0.0	453.1	388.2	6.3	18.9	33.6	50.3
146.0	0.0	8771.0	7356.1	5.2	12.1	19.9	35.7	146.0	0.0	497.3	389.0	7.1	15.7	24.1	33.6
147.0	0.0	8200.9	7361.8	5.2	14.7	25.2	46.1	147.0	0.0	459.8	389.5	6.6	15.2	26.2	48.2
148.0	0.0	8055.1	7366.5	5.2	16.8	29.4	60.8	148.0	0.0	408.2	389.6	6.6	16.8	28.3	37.7
149.0	0.0	8358.7	7373.2	5.5	13.6	23.1	35.7	149.0	0.0	438.4	389.9	7.1	17.8	24.1	27.3
150.0	0.0	8388.0	7380.0	5.2	14.7	24.1	35.7	150.0	0.0	439.9	390.2	7.3	18.9	32.5	41.9
151.0	0.0	8001.4	7384.1	5.2	16.3	29.4	62.9	151.0	0.0	456.3	390.7	6.8	18.9	25.2	32.5
152.0	0.0	7662.7	7385.9	5.5	16.8	28.3	71.3	152.0	0.0	435.2	391.0	6.8	21.0	32.5	48.2
153.0	0.0	8144.2	7390.9	5.2	15.2	27.3	71.3	153.0	0.0	438.5	391.3	7.1	19.9	27.3	54.5
154.0	0.0	7777.5	7393.4	5.2	16.3	35.7	121.6	154.0	0.0	386.5	391.3	6.8	21.0	41.9	58.7
155.0	0.0	8147.4	7398.2	5.5	14.7	24.1	41.9	155.0	0.0	427.1	391.5	7.1	21.0	31.5	39.8
156.0	0.0	8575.0	7405.8	5.2	13.6	23.1	52.4	156.0	0.0	465.0	392.0	6.8	18.9	29.4	37.7
157.0	0.0	8124.6	7410.4	5.2	15.2	26.2	56.6	157.0	0.0	416.7	392.1	6.6	16.8	25.2	35.7
158.0	0.0	8076.8	7414.6	5.2	15.7	26.2	48.2	158.0	0.0	453.9	392.5	7.1	16.3	24.1	33.6
159.0	0.0	7941.3	7417.9	5.5	16.3	26.2	46.1	159.0	0.0	425.8	392.7	7.1	21.0	29.4	33.6
160.0	0.0	8097.1	7422.1	5.2	15.2	27.3	48.2	160.0	0.0	435.5	393.0	7.1	22.0	41.9	44.0
161.0	0.0	8318.9	7427.7	5.2	14.7	24.1	48.2	161.0	0.0	438.9	393.3	6.3	17.8	26.2	41.9
162.0	0.0	8532.9	7434.5	5.2	13.6	25.2	46.1	162.0	0.0	464.0	393.7	6.6	16.3	29.4	39.8
163.0	0.0	8207.5	7439.3	5.2	15.2	29.4	62.9	163.0	0.0	412.9	393.8	6.8	17.8	26.2	39.8
164.0	0.0	7929.3	7442.3	5.2	16.8	26.2	41.9	164.0	0.0	423.4	394.0	7.1	22.0	33.6	41.9
165.0	0.0	8278.9	7447.3	5.2	15.2	26.2	41.9	165.0	0.0	455.9	394.4	7.3	18.9	27.3	37.7
166.0	0.0	8200.0	7451.8	5.5	15.7	26.2	39.8	166.0	0.0	416.4	394.5	6.6	18.9	27.3	37.7
167.0	0.0	8105.4	7455.8	5.5	15.2	25.2	46.1	167.0	0.0	426.4	394.7	7.6	18.9	27.3	33.6
168.0	0.0	7940.9	7458.6	5.5	16.3	25.2	44.0	168.0	0.0	431.1	394.9	7.3	17.8	30.4	33.6
169.0	0.0	8517.2	7465.0	5.2	13.6	24.1	41.9	169.0	0.0	443.1	395.2	6.8	17.8	32.5	44.0
170.0	0.0	8526.7	7471.2	5.2	14.2	24.1	48.2	170.0	0.0	438.7	395.5	6.6	16.8	27.3	39.8
171.0	0.0	8237.4	7475.6	5.2	15.2	23.1	37.7	171.0	0.0	449.3	395.8	7.1	18.9	28.3	37.7
172.0	0.0	8109.9	7479.3	5.2	15.2	29.4	79.7	172.0	0.0	435.7	396.0	6.8	18.9	31.5	54.5
173.0	0.0	8025.3	7482.5	5.2	15.7	28.3	83.9	173.0	0.0	408.2	396.1	6.6	17.8	29.4	50.3
174.0	0.0	8028.7	7485.7	5.5	15.7	27.3	50.3	174.0	0.0	403.6	396.1	6.8	19.9	31.5	37.7
175.0	0.0	8264.1	7490.1	5.2	14.7	26.2	48.2	175.0	0.0	437.5	396.4	7.1	19.9	31.5	39.8
176.0	0.0	8732.0	7497.1	5.2	13.1	19.9	39.8	176.0	0.0	438.0	396.6	7.1	16.8	29.4	39.8
177.0	0.0	8649.0	7503.6	5.2	13.6	25.2	44.0	177.0	0.0	431.0	396.8	6.8	15.7	26.2	39.8
178.0	0.0	7911.4	7505.9	5.5	16.8	27.3	48.2	178.0	0.0	422.0	396.9	7.1	15.7	26.2	37.7
179.0	0.0	8532.7	7511.6	5.2	14.2	21.0	30.4	179.0	0.0	449.0	397.2	7.1	18.9	27.3	29.4
180.0	0.0	8337.1	7516.2	5.2	14.7	24.1	37.7	180.0	0.0	457.1	397.5	6.6	19.9	29.4	37.7
181.0	0.0	8366.5	7520.9	5.2	15.2	23.1	44.0	181.0	0.0	438.9	397.8	6.8	18.9	31.5	39.8
182.0	0.0	8392.5	7525.7	5.2	14.2	23.1	41.9	182.0	0.0	454.9	398.1	6.6	21.0	27.3	30.4
183.0	0.0	8423.2	7530.6	5.2	14.2	23.1	37.7	183.0	0.0	442.2	398.3	6.8	16.3	25.2	31.5
184.0	0.0	8416.6	7535.5	5.2	14.7	25.2	44.0	184.0	0.0	475.6	398.8	6.8	16.8	28.3	33.6
185.0	0.0	8377.5	7540.0	5.2	14.7	26.2	54.5	185.0	0.0	414.2	398.8	6.3	15.2	29.4	48.2
186.0	0.0	8431.2	7544.8	5.2	15.7	26.2	50.3	186.0	0.0	396.0	398.8	6.6	16.8	25.2	33.6
187.0	0.0	8076.8	7547.6	5.2	16.8	28.3	50.3	187.0	0.0	443.1	399.1	6.8	18.9	31.5	39.8
188.0	0.0	8221.7	7551.2	5.5	14.7	23.1	41.9	188.0	0.0	442.8	399.3	7.1	17.8	25.2	31.5
189.0	0.0	8306.5	7555.2	5.2	15.7	26.2	39.8	189.0	0.0	424.1	399.4	6.3	17.8	27.3	35.7
190.0	0.0	8292.5	7559.1	5.2	15.2	25.2	35.7	190.0	0.0	415.6	399.5	7.3	18.9	29.4	39.8
191.0	0.0	8465.3	7563.8	5.2	14.7	25.2	44.0	191.0	0.0	424.6	399.6	6.6	15.7	29.4	35.7
192.0	0.0	8538.3	7568.9	5.2	14.2	24.1	48.2	192.0	0.0	430.9	399.8	7.1	14.2	25.2	39.8
193.0	0.0	8512.4	7573.9	5.2	14.2	24.1	46.1	193.0	0.0	427.3	399.9	6.6	15.7	22.0	37.7
194.0	0.0	8122.6	7576.6	5.5	15.7	26.2	44.0	194.0	0.0	425.8	400.1	6.8	17.8	28.3	33.6
195.0	0.0	8265.3	7580.3	5.2	15.7	25.2	44.0	195.0	0.0	416.1	400.2	6.8	16.8	26.2	41.9
196.0	0.0	8522.4	7585.0	5.2	14.7	24.1	44.0	196.0	0.0	443.7	400.4	6.8	16.8	27.3	33.6
197.0	0.0	8262.8	7588.4	5.2	15.7	26.2	48.2	197.0	0.0	438.1	400.6	7.1	16.8	26.2	41.9
198.0	0.0	8899.5	7595.1	5.2	12.6	23.1	46.1	198.0	0.0	450.7	400.8	6.8	14.2	25.2	35.7
199.0	0.0	8265.3	7598.4	5.2	15.7	26.2	48.2	199.0	0.0	410.1	400.9	6.6	21.0	39.8	48.2
200.0	0.0	8314.3	7602.0	5.2	15.2	23.1	37.7	200.0	0.0	443.0	401.1	6.8	13.6	26.2	37.7
201.0	0.0	8246.5	7605.3	5.5	15.2	24.1	44.0	201.0	0.0	431.4	401.2	6.6	15.7	25.2	35.7
202.0	0.0	8549.9	7609.9	5.2	14.7	24.1	44.0	202.0	0.0	464.3	401.5	6.8	16.3	24.1	28.3
203.0	0.0	8433.1	7613.9	5.2	14.2	24.1	41.9	203.0	0.0	441.2	401.7	6.8	18.9	29.4	37.7
204.0	0.0	8184.5	7616.8	5.5	15.7	26.2	44.0	204.0	0.0	418.7	401.8	6.6	16.3	28.3	33.6
205.0	0.0	8144.7	7619.3	5.5	15.2	26.2	52.4	205.0	0.0	457.7	402.1	6.6	21.0	27.3	50.3
206.0	0.0	8727.8	7624.7	5.2	12.6	23.1	39.8	206.0	0.0	447.0	402.3	6.8	14.7	27.3	41.9
207.0	0.0	7966.0	7626.3	5.2	16.3	30.4	96.5	207.0	0.0	435.8	402.5	7.3	21.0	35.7	65.0
